,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul
177,2012-06-26,0,4.6,44.9,24.6,,,
178,2012-06-27,0,3.3,47.1,24.8,,,
179,2012-06-28,0,2.2,50.4,25.3,,,
180,2012-06-29,20,2.3,60.4,25.9,,,
181,2012-06-30,69.5,4.2,87.8,21.9,,,
182,2012-07-01,0,3,80.1,21.6,,,
183,2012-07-02,0,2.5,62.8,24,,,
184,2012-07-03,25,1.5,78.1,22.7,,,
185,2012-07-04,0.3,3.2,79.8,24.4,,,
186,2012-07-05,72,2.1,89.6,22.7,,,
187,2012-07-06,102.5,3.2,88.8,20.9,,,
188,2012-07-07,0,1.7,62.1,24.8,,,
189,2012-07-08,0,2.5,64.5,25.8,,,
190,2012-07-09,0,2,64.1,26.3,,,
191,2012-07-10,6.5,2.5,67.4,25.9,,,
192,2012-07-11,8,3,83.5,23.3,,,
193,2012-07-12,0,2.3,72.3,24.7,,,
194,2012-07-13,76.5,2.2,76.1,26.1,,,
195,2012-07-14,8,3.7,82.1,22.8,,,
196,2012-07-15,32.5,4.4,89.5,19.7,,,
197,2012-07-16,2.5,1.9,80.3,21.7,,,
198,2012-07-17,0,2,70.5,25.5,,,
199,2012-07-18,6,2.6,78.8,26.3,,,
200,2012-07-19,72.5,4.9,85.3,23.9,,,
201,2012-07-20,1,2.3,73.6,25.6,,,
202,2012-07-21,0,1.6,67.4,27.5,,,
203,2012-07-22,16.5,2.1,74.4,27.2,,,
204,2012-07-23,1,4,73.9,27.6,,,
205,2012-07-24,0,3.2,71.9,27.8,,,
206,2012-07-25,0,2.2,68,27.9,,,
207,2012-07-26,0,2.4,63.4,28.1,,,
208,2012-07-27,0,2.8,68,27.9,,,
209,2012-07-28,0,2.6,67.3,28.5,,,
210,2012-07-29,0,3.7,66.8,29.2,,,
211,2012-07-30,18,4,72.3,28.4,,,
212,2012-07-31,0.1,2.5,66.1,29,,,
213,2012-08-01,0,2.5,56.8,30.8,,,
214,2012-08-02,0,3.7,53.6,30.8,,,
215,2012-08-03,0,3.2,51.9,31.3,,,
216,2012-08-04,0,2.2,50.1,31.7,,,
